"","Categoria","Comunidad","Educacion","FechaCreacion","TipoJornada","Provincia","SalarioMax","SalarioMin","SubCategoria"
"21024","CUIDADOS/ASISTENCIA EN EL HOGAR","ANDALUCÍA","Postgrado Universitario",2018-08-28,"COMPLETA","ALMERÍA",1700,600,"AUXILIARES DE ENFERMERÍA/GERIATRÍA"
"21025","APRENDICES/PRIMER EMPLEO","MADRID","Bachillerato",2018-08-28,"COMPLETA","MADRID",850,600,"APRENDICES"
"21026","COMUNICACIÓN/CULTURA/ENTRETENIMIENTO","CATALUÑA","Bachillerato",2018-08-28,"INDIFERENTE","TARRAGONA",14000,10000,"COMUNICACIÓN/PUBLICIDAD/MARKETING"
"21027","HOSTELERÍA/TURISMO","NAVARRA","Unknown",2018-08-28,"COMPLETA","NAVARRA",1376,1375,"COCINEROS"
"21028","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","COMUNIDAD VALENCIANA","ESO, EGB, Graduado Escolar",2018-08-28,"PARCIAL","ALICANTE",700,300,"AGRICULTURA/GANADERÍA"
"21029","COMERCIAL/VENTAS","CATALUÑA","ESO, EGB, Graduado Escolar",2018-08-28,"INDIFERENTE","TARRAGONA",1000,400,"VENDEDORES"
"21030","COMERCIAL/VENTAS","MADRID","Unknown",2018-08-28,"COMPLETA","MADRID",1440,1000,"VENDEDORES"
"21031","INFORMÁTICA/TELECOMUNICACIONES","CASTILLA Y LEÓN","FP I, Ciclo de Grado Medio",2018-08-13,"COMPLETA","BURGOS",18000,14000,"TELECOMUNICACIONES"
"21207","CONSTRUCCIÓN","MADRID","Estudios primarios",2018-04-20,"COMPLETA","MADRID",1500,1000,"ALBAÑILERIA/ACABADOS"
"21208","CONSTRUCCIÓN","MADRID","ESO, EGB, Graduado Escolar",2018-04-20,"COMPLETA","MADRID",1500,1000,"ALBAÑILERIA/ACABADOS"
"21209","HOSTELERÍA/TURISMO","ANDALUCÍA","FP II, Ciclo de Grado Superior",2018-08-27,"INDIFERENTE","CÁDIZ",1000,1000,"CAMAREROS"
"21211","DEPENDIENTES/INFORMACIÓN","LA RIOJA","ESO, EGB, Graduado Escolar",2018-08-27,"PARCIAL","RIOJA (LA)",500,450,"ENCUESTADORES"
"21212","INFORMÁTICA/TELECOMUNICACIONES","MADRID","FP I, Ciclo de Grado Medio",2018-08-27,"COMPLETA","MADRID",19379,15750,"ANALISTAS/PROGRAMADORES"
"21213","PELUQUERÍA/ESTÉTICA","COMUNIDAD VALENCIANA","FP I, Ciclo de Grado Medio",2018-08-27,"COMPLETA","VALENCIA",850,800,"ESTÉTICA"
"21214","COMERCIAL/VENTAS","MADRID","ESO, EGB, Graduado Escolar",2018-08-27,"COMPLETA","MADRID",27000,18000,"VENDEDORES"
"21215","INGENIERÍA/CALIDAD/CIENCIAS","MADRID","Licenciado o Ingeniero Superior",2018-05-18,"COMPLETA","MADRID",35000,25000,"INGENIERÍAS"
"21216","CONDUCTORES/TRANSPORTE","ANDALUCÍA","ESO, EGB, Graduado Escolar",2018-08-27,"COMPLETA","GRANADA",1400,1350,"TRANSPORTE INTERNACIONAL/ESPECIAL"
"21217","VIGILANCIA/SERVICIOS","MADRID","ESO, EGB, Graduado Escolar",2018-08-27,"COMPLETA","MADRID",18000,15000,"SEGURIDAD"
"21218","INFORMÁTICA/TELECOMUNICACIONES","GALICIA","FP I, Ciclo de Grado Medio",2018-08-27,"COMPLETA","CORUÑA (A)",19379,15750,"ANALISTAS/PROGRAMADORES"
"21219","SALUD/DEPORTE","MADRID","FP I, Ciclo de Grado Medio",2018-08-27,"COMPLETA","MADRID",22000,18000,"FARMACIA/ÓPTICA/AUDICIÓN"
"21220","INFORMÁTICA/TELECOMUNICACIONES","ANDALUCÍA","FP II, Ciclo de Grado Superior",2018-08-27,"COMPLETA","MÁLAGA",1200,1000,"ANALISTAS/PROGRAMADORES"
"21221","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","Unknown","FP I, Ciclo de Grado Medio",2018-08-27,"COMPLETA","Unknown",24000,18000,"FRÍO Y CLIMATIZACIÓN"
"21222","METAL/MECÁNICA","CASTILLA LA MANCHA","FP II, Ciclo de Grado Superior",2018-08-27,"COMPLETA","ALBACETE",1800,1200,"MAQUINA HERRAMIENTA/TORNO/FRESA"
"21223","HOSTELERÍA/TURISMO","ANDALUCÍA","FP II, Ciclo de Grado Superior",2018-08-27,"COMPLETA","CÁDIZ",1100,900,"AYUDANTES DE COCINA/COMIDA RÁPIDA"
"21224","COMERCIAL/VENTAS","ILLES BALEARS","Bachillerato",2018-08-27,"COMPLETA","BALEARS (ILLES)",1100,900,"VENDEDORES"
"21225","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","REGIÓN DE MURCIA","FP I, Ciclo de Grado Medio",2018-07-26,"COMPLETA","MURCIA",1300,900,"ELECTRICIDAD"
"21226","ADMINISTRACIÓN","MADRID","ESO, EGB, Graduado Escolar",2018-08-27,"COMPLETA","MADRID",15000,15000,"RECEPCIONISTAS"
"21374","INFORMÁTICA/TELECOMUNICACIONES","MADRID","Unknown",2018-08-26,"COMPLETA","MADRID",2000,1500,"ANALISTAS/PROGRAMADORES"
"21465","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","REGIÓN DE MURCIA","Estudios primarios",2018-08-23,"COMPLETA","MURCIA",2500,1500,"ACUICULTURA"
"21466","DERECHO/PSICOLOGÍA/CIENCIAS SOCIALES","MADRID","Licenciado o Ingeniero Superior",2018-08-23,"COMPLETA","MADRID",25000,20000,"PSICÓLOGOS"
"21469","COMERCIAL/VENTAS","MADRID","FP I, Ciclo de Grado Medio",2018-06-06,"PARCIAL","MADRID",2000,500,"VENDEDORES"
"21470","CONSTRUCCIÓN","GALICIA","Sin estudios",2018-08-23,"COMPLETA","PONTEVEDRA",1400,1200,"ALBAÑILERIA/ACABADOS"
"21471","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","CASTILLA Y LEÓN","FP I, Ciclo de Grado Medio",2018-08-23,"COMPLETA","VALLADOLID",18840,16711,"FRÍO Y CLIMATIZACIÓN"
"21472","SALUD/DEPORTE","CASTILLA LA MANCHA","Licenciado o Ingeniero Superior",2018-08-14,"COMPLETA","CUENCA",39000,30000,"MEDICINA"
"21473","CONSTRUCCIÓN","ANDALUCÍA","FP II, Ciclo de Grado Superior",2018-08-23,"COMPLETA","ALMERÍA",24000,21000,"ENCARGADOS DE OBRAS/CAPATACES"
"21474","PELUQUERÍA/ESTÉTICA","MADRID","Estudios primarios",2018-08-22,"COMPLETA","MADRID",930,750,"PELUQUERÍA"
"21475","CONSTRUCCIÓN","ANDALUCÍA","Diplomado o Ingeniero Técnico",2018-08-23,"COMPLETA","ALMERÍA",24000,21000,"TECNICOS EN CONSTRUCCION"
"21476","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","MADRID","FP I, Ciclo de Grado Medio",2018-08-23,"COMPLETA","Unknown",20000,20000,"ELECTRICIDAD"
"21477","INGENIERÍA/CALIDAD/CIENCIAS","GALICIA","FP II, Ciclo de Grado Superior",2018-08-23,"COMPLETA","PONTEVEDRA",1300,800,"I+D"
"21694","CONSTRUCCIÓN","ILLES BALEARS","FP II, Ciclo de Grado Superior",2018-08-22,"COMPLETA","BALEARS (ILLES)",24000,23000,"ENCARGADOS DE OBRAS/CAPATACES"
"21695","CONSTRUCCIÓN","GALICIA","ESO, EGB, Graduado Escolar",2018-08-22,"COMPLETA","CORUÑA (A)",18200,15400,"FONTANERÍA"
"21696","CONSTRUCCIÓN","MADRID","ESO, EGB, Graduado Escolar",2018-08-22,"COMPLETA","MADRID",1300,1000,"ALBAÑILERIA/ACABADOS"
"21697","HOSTELERÍA/TURISMO","PRINCIPADO DE ASTURIAS","Unknown",2018-05-10,"COMPLETA","ASTURIAS",70,70,"CAMAREROS"
"21709","COMERCIAL/VENTAS","CATALUÑA","Unknown",2018-08-23,"COMPLETA","BARCELONA",23000,17000,"VENDEDORES"
"21766","COMERCIAL/VENTAS","ISLAS CANARIAS","Diplomado o Ingeniero Técnico",2018-08-21,"COMPLETA","PALMAS (LAS)",1000,900,"VENDEDORES"
"21767","CONSTRUCCIÓN","ISLAS CANARIAS","Certificados de Profesionalidad",2018-08-21,"COMPLETA","PALMAS (LAS)",1300,1200,"FONTANERÍA"
"21768","INFORMÁTICA/TELECOMUNICACIONES","CATALUÑA","FP II, Ciclo de Grado Superior",2018-08-21,"COMPLETA","BARCELONA",11221,11221,"MICROINFORMATICA/ASISTENCIA TÉCNICA"
"21771","APRENDICES/PRIMER EMPLEO","LA RIOJA","FP I, Ciclo de Grado Medio",2018-08-21,"COMPLETA","RIOJA (LA)",900,850,"APRENDICES"
"21772","INFORMÁTICA/TELECOMUNICACIONES","CASTILLA Y LEÓN","FP II, Ciclo de Grado Superior",2018-08-21,"COMPLETA","VALLADOLID",11221,11221,"SISTEMAS/SEGURIDAD/REDES"
"21773","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","ISLAS CANARIAS","FP II, Ciclo de Grado Superior",2018-08-21,"COMPLETA","PALMAS (LAS)",1000,900,"ELECTRICIDAD"
"21774","ADMINISTRACIÓN","PAÍS VASCO","Diplomado o Ingeniero Técnico",2018-08-21,"COMPLETA","VIZCAYA",27000,24000,"ADMINISTRATIVOS"
"21775","ADMINISTRACIÓN","PAÍS VASCO","FP II, Ciclo de Grado Superior",2018-08-21,"PARCIAL","ÁLAVA",800,600,"ADMINISTRATIVOS"
"21776","SALUD/DEPORTE","CASTILLA Y LEÓN","Diplomado o Ingeniero Técnico",2018-08-15,"PARCIAL","LEÓN",1,1,"FISIOTERAPIA/DEPORTE/MANTENIMIENTO FISIC"
"21796","DEPENDIENTES/INFORMACIÓN","CATALUÑA","Unknown",2018-08-22,"COMPLETA","BARCELONA",17952,16452,"TELEOPERADORES"
"21809","ADMINISTRACIÓN","CATALUÑA","Unknown",2018-08-22,"COMPLETA","BARCELONA",22000,18000,"CONTABILIDAD/FINANZAS"
"21973","ADMINISTRACIÓN","MADRID","Unknown",2018-05-23,"COMPLETA","MADRID",1500,1000,"CONTABILIDAD/FINANZAS"
"21975","CONDUCTORES/TRANSPORTE","CATALUÑA","ESO, EGB, Graduado Escolar",2018-09-06,"COMPLETA","BARCELONA",1300,1100,"REPARTO DE MERCANCÍAS"
"21976","EDUCACIÓN/SERVICIOS SOCIALES","MADRID","Unknown",2018-09-06,"PARCIAL","MADRID",370,370,"ENSEÑANZA DE IDIOMAS"
"21977","ADMINISTRACIÓN","GALICIA","Licenciado o Ingeniero Superior",2018-09-06,"COMPLETA","PONTEVEDRA",12000,10302,"CONTABILIDAD/FINANZAS"
"21978","CUIDADOS/ASISTENCIA EN EL HOGAR","COMUNIDAD VALENCIANA","Certificados de Profesionalidad",2018-09-06,"PARCIAL","ALICANTE",300,250,"AUXILIARES DE ENFERMERÍA/GERIATRÍA"
"21979","CONDUCTORES/TRANSPORTE","CATALUÑA","Unknown",2018-09-06,"PARCIAL","BARCELONA",909,909,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"21980","CONSTRUCCIÓN","ANDALUCÍA","Unknown",2018-09-06,"COMPLETA","SEVILLA",1500,700,"ALBAÑILERIA/ACABADOS"
"22138","ADMINISTRACIÓN","MADRID","Unknown",2018-05-23,"COMPLETA","MADRID",1500,1000,"CONTABILIDAD/FINANZAS"
"22140","CONDUCTORES/TRANSPORTE","CATALUÑA","ESO, EGB, Graduado Escolar",2018-09-06,"COMPLETA","BARCELONA",1300,1100,"REPARTO DE MERCANCÍAS"
"22141","EDUCACIÓN/SERVICIOS SOCIALES","MADRID","Unknown",2018-09-06,"PARCIAL","MADRID",370,370,"ENSEÑANZA DE IDIOMAS"
"22142","ADMINISTRACIÓN","GALICIA","Licenciado o Ingeniero Superior",2018-09-06,"COMPLETA","PONTEVEDRA",12000,10302,"CONTABILIDAD/FINANZAS"
"22143","CUIDADOS/ASISTENCIA EN EL HOGAR","COMUNIDAD VALENCIANA","Certificados de Profesionalidad",2018-09-06,"PARCIAL","ALICANTE",300,250,"AUXILIARES DE ENFERMERÍA/GERIATRÍA"
"22144","CONDUCTORES/TRANSPORTE","CATALUÑA","Unknown",2018-09-06,"PARCIAL","BARCELONA",909,909,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"22145","CONSTRUCCIÓN","ANDALUCÍA","Unknown",2018-09-06,"COMPLETA","SEVILLA",1500,700,"ALBAÑILERIA/ACABADOS"
"22147","FÁBRICAS/INDUSTRIA","CATALUÑA","ESO, EGB, Graduado Escolar",2018-09-06,"COMPLETA","BARCELONA",1200,1000,"ARTESANÍA/OFICIOS"
"22148","ADMINISTRACIÓN","GALICIA","Licenciado o Ingeniero Superior",2018-09-06,"COMPLETA","PONTEVEDRA",12000,10302,"ADMINISTRATIVOS"
"22149","FÁBRICAS/INDUSTRIA","COMUNIDAD VALENCIANA","ESO, EGB, Graduado Escolar",2018-09-06,"COMPLETA","VALENCIA",20000,16000,"MADERA Y MUEBLE/EBANISTERÍA"
"22150","ADMINISTRACIÓN","MADRID","FP II, Ciclo de Grado Superior",2018-09-06,"COMPLETA","MADRID",1200,1000,"ADMINISTRATIVOS"
"22151","CONSTRUCCIÓN","GALICIA","Otras Formaciones",2018-09-06,"COMPLETA","OURENSE",1500,1000,"PEONES"
"22152","APRENDICES/PRIMER EMPLEO","MADRID","Sin estudios",2018-09-06,"PARCIAL","MADRID",600,600,"PRIMER EMPLEO"
"22153","INFORMÁTICA/TELECOMUNICACIONES","CASTILLA Y LEÓN","FP I, Ciclo de Grado Medio",2018-09-06,"PARCIAL","VALLADOLID",800,700,"MICROINFORMATICA/ASISTENCIA TÉCNICA"
"22154","ADMINISTRACIÓN","CATALUÑA","FP II, Ciclo de Grado Superior",2018-03-19,"PARCIAL","BARCELONA",500,200,"CONTABILIDAD/FINANZAS"
"22157","FÁBRICAS/INDUSTRIA","MADRID","FP I, Ciclo de Grado Medio",2018-09-06,"COMPLETA","MADRID",21000,19000,"ENCARGADOS Y SUPERVISORES DE PRODUCCIÓN"
"22158","ADMINISTRACIÓN","COMUNIDAD VALENCIANA","FP II, Ciclo de Grado Superior",2018-09-06,"COMPLETA","VALENCIA",12000,9000,"CONTABILIDAD/FINANZAS"
"22159","INGENIERÍA/CALIDAD/CIENCIAS","CANTABRIA","FP II, Ciclo de Grado Superior",2018-09-06,"PARCIAL","CANTABRIA",12000,12000,"MEDIO AMBIENTE/QUÍMICA/BIOLOGÍA/LABORATO"
"22160","CUIDADOS/ASISTENCIA EN EL HOGAR","ISLAS CANARIAS","Unknown",2018-09-05,"COMPLETA","PALMAS (LAS)",1100,1000,"LIMPIEZA"
"22161","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","CATALUÑA","Unknown",2018-09-06,"COMPLETA","BARCELONA",1300,900,"CARNICERÍA/CHARCUTERIA"
"22162","PELUQUERÍA/ESTÉTICA","CASTILLA LA MANCHA","Sin estudios",2018-09-06,"PARCIAL","TOLEDO",1200,1,"PELUQUERÍA"
"22163","COMERCIAL/VENTAS","CATALUÑA","ESO, EGB, Graduado Escolar",2018-09-06,"COMPLETA","BARCELONA",2000,850,"AGENTES COMERCIALES/REPRESENTANTES"
"22164","CONSTRUCCIÓN","ANDALUCÍA","Unknown",2018-09-06,"COMPLETA","JAÉN",1250,0,"PEONES"
"22165","COMERCIAL/VENTAS","CASTILLA Y LEÓN","Unknown",2018-09-06,"COMPLETA","VALLADOLID",22500,15000,"VENDEDORES"
"22166","CONSTRUCCIÓN","MADRID","Unknown",2018-09-06,"COMPLETA","MADRID",1500,1500,"ENCARGADOS DE OBRAS/CAPATACES"
"22167","ADMINISTRACIÓN","CATALUÑA","FP II, Ciclo de Grado Superior",2018-09-06,"COMPLETA","BARCELONA",30000,18000,"ADMINISTRATIVOS"
"22168","COMERCIAL/VENTAS","COMUNIDAD VALENCIANA","Sin estudios",2018-09-06,"COMPLETA","VALENCIA",20000,15000,"AGENTES COMERCIALES/REPRESENTANTES"
"22169","CONDUCTORES/TRANSPORTE","MADRID","ESO, EGB, Graduado Escolar",2018-09-06,"COMPLETA","MADRID",1400,1300,"REPARTO DE MERCANCÍAS"
"22170","INFORMÁTICA/TELECOMUNICACIONES","CATALUÑA","Licenciado o Ingeniero Superior",2018-09-06,"COMPLETA","BARCELONA",24000,21000,"ANALISTAS/PROGRAMADORES"
"22171","HOSTELERÍA/TURISMO","MADRID","Bachillerato",2018-09-06,"PARCIAL","MADRID",600,500,"CAMAREROS"
"22172","CONDUCTORES/TRANSPORTE","COMUNIDAD VALENCIANA","FP I, Ciclo de Grado Medio",2018-09-06,"INDIFERENTE","VALENCIA",1200,500,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"22173","CONDUCTORES/TRANSPORTE","MADRID","Sin estudios",2018-09-06,"COMPLETA","MADRID",1500,1200,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"22174","CONDUCTORES/TRANSPORTE","CATALUÑA","Otras Formaciones",2018-09-06,"COMPLETA","BARCELONA",2500,2100,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"22175","HOSTELERÍA/TURISMO","ANDALUCÍA","FP II, Ciclo de Grado Superior",2018-09-05,"COMPLETA","ALMERÍA",800,700,"AYUDANTES DE COCINA/COMIDA RÁPIDA"
"22176","APRENDICES/PRIMER EMPLEO","MADRID","ESO, EGB, Graduado Escolar",2018-09-06,"COMPLETA","MADRID",14500,14000,"APRENDICES"
"22177","CONSTRUCCIÓN","GALICIA","Unknown",2018-09-06,"COMPLETA","CORUÑA (A)",900,750,"PEONES"
"22178","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","CASTILLA LA MANCHA","FP I, Ciclo de Grado Medio",2018-07-10,"COMPLETA","ALBACETE",18000,16000,"ELECTRICIDAD"
"22280","ARQUITECTURA/DISEÑO","CATALUÑA","ESO, EGB, Graduado Escolar",2018-09-07,"COMPLETA","BARCELONA",1400,1200,"DELINEANTES/PROYECTISTAS"
"22319","DEPENDIENTES/INFORMACIÓN","COMUNIDAD VALENCIANA","ESO, EGB, Graduado Escolar",2018-09-15,"PARCIAL","VALENCIA",538,538,"DEPENDIENTES"
"22328","SALUD/DEPORTE","PRINCIPADO DE ASTURIAS","Diplomado o Ingeniero Técnico",2018-09-05,"PARCIAL","ASTURIAS",500,250,"ENFERMERÍA"
"22329","HOSTELERÍA/TURISMO","CANTABRIA","Unknown",2018-09-05,"INDIFERENTE","CANTABRIA",1500,600,"AYUDANTES DE COCINA/COMIDA RÁPIDA"
"22330","COMERCIAL/VENTAS","MADRID","Unknown",2018-09-05,"PARCIAL","MADRID",9,8,"VENDEDORES"
"22331","EDUCACIÓN/SERVICIOS SOCIALES","MADRID","Diplomado o Ingeniero Técnico",2018-09-05,"INDIFERENTE","MADRID",1400,850,"ENSEÑANZA PRIMARIA Y SECUNDARIA"
"22332","CONSTRUCCIÓN","CATALUÑA","Sin estudios",2018-09-05,"COMPLETA","BARCELONA",1200,900,"PINTURA"
"22333","CONSTRUCCIÓN","LA RIOJA","ESO, EGB, Graduado Escolar",2018-09-05,"COMPLETA","RIOJA (LA)",1300,1000,"PINTURA"
"22334","COMERCIAL/VENTAS","MADRID","Sin estudios",2018-09-05,"PARCIAL","MADRID",7,7,"AGENTES COMERCIALES/REPRESENTANTES"
"22335","HOSTELERÍA/TURISMO","MADRID","FP I, Ciclo de Grado Medio",2018-09-05,"INDIFERENTE","MADRID",1000,950,"COCINEROS"
"22336","COMERCIAL/VENTAS","ARAGÓN","Unknown",2018-09-05,"COMPLETA","ZARAGOZA",2000,1000,"VENDEDORES"
"22337","EDUCACIÓN/SERVICIOS SOCIALES","ANDALUCÍA","Diplomado o Ingeniero Técnico",2018-09-05,"PARCIAL","CÁDIZ",10,10,"ENSEÑANZA DE IDIOMAS"
"22338","CONDUCTORES/TRANSPORTE","MADRID","Unknown",2018-09-05,"COMPLETA","MADRID",1500,1200,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"22339","ADMINISTRACIÓN","CATALUÑA","Unknown",2018-09-05,"COMPLETA","BARCELONA",1100,950,"ADMINISTRATIVOS"
"22340","FÁBRICAS/INDUSTRIA","REGIÓN DE MURCIA","ESO, EGB, Graduado Escolar",2018-09-05,"COMPLETA","MURCIA",50000,10000,"PEONES/OPERARIOS/MANIPULADORES"
"22342","PELUQUERÍA/ESTÉTICA","MADRID","FP I, Ciclo de Grado Medio",2018-09-05,"COMPLETA","MADRID",1300,1100,"PELUQUERÍA"
"22343","CONSTRUCCIÓN","MADRID","Unknown",2018-09-05,"COMPLETA","MADRID",1500,1200,"CARPINTERÍA"
"22344","CONSTRUCCIÓN","ILLES BALEARS","FP II, Ciclo de Grado Superior",2018-09-05,"COMPLETA","Unknown",20000,15000,"TECNICOS EN CONSTRUCCION"
"22345","SALUD/DEPORTE","CATALUÑA","Licenciado o Ingeniero Superior",2018-09-05,"COMPLETA","BARCELONA",43000,42000,"MEDICINA"
"22347","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","CASTILLA LA MANCHA","Sin estudios",2018-09-05,"COMPLETA","ALBACETE",1200,900,"AGRICULTURA/GANADERÍA"
"22348","ALMACENES/REPONEDORES","CATALUÑA","Estudios primarios",2018-09-05,"COMPLETA","BARCELONA",1000,800,"GESTIÓN DE ALMACENES"
"22349","METAL/MECÁNICA","MADRID","FP I, Ciclo de Grado Medio",2018-03-20,"COMPLETA","MADRID",1250,1000,"MECÁNICA/MANTENIMIENTO"
"22351","ADMINISTRACIÓN","MADRID","Licenciado o Ingeniero Superior",2018-09-05,"COMPLETA","MADRID",13000,11000,"CONTABILIDAD/FINANZAS"
"22352","FÁBRICAS/INDUSTRIA","MADRID","ESO, EGB, Graduado Escolar",2018-09-05,"COMPLETA","MADRID",850,850,"PEONES/OPERARIOS/MANIPULADORES"
"22353","METAL/MECÁNICA","MADRID","FP I, Ciclo de Grado Medio",2018-09-05,"COMPLETA","MADRID",1200,900,"MAQUINA HERRAMIENTA/TORNO/FRESA"
"22354","FÁBRICAS/INDUSTRIA","CASTILLA LA MANCHA","ESO, EGB, Graduado Escolar",2018-09-05,"COMPLETA","TOLEDO",18000,18000,"PEONES/OPERARIOS/MANIPULADORES"
"22355","AGRICULTURA/JARDINERÍA/ALIMENTACIÓN","COMUNIDAD VALENCIANA","Estudios primarios",2018-09-05,"COMPLETA","VALENCIA",1130,1127,"OTRAS ACTIVIDADES"
"22357","CONSTRUCCIÓN","GALICIA","ESO, EGB, Graduado Escolar",2018-09-05,"COMPLETA","CORUÑA (A)",20000,18000,"CARPINTERÍA"
"22358","PELUQUERÍA/ESTÉTICA","MADRID","FP I, Ciclo de Grado Medio",2018-09-05,"COMPLETA","MADRID",1300,1100,"PELUQUERÍA"
"22359","CONDUCTORES/TRANSPORTE","COMUNIDAD VALENCIANA","Estudios primarios",2018-09-05,"PARCIAL","ALICANTE",950,800,"TRANSPORTE DE PERSONAS O MERCANCIAS"
"22360","METAL/MECÁNICA","ILLES BALEARS","Estudios primarios",2018-09-05,"COMPLETA","BALEARS (ILLES)",1000,900,"MECÁNICA/MANTENIMIENTO"
"22361","COMERCIAL/VENTAS","CASTILLA Y LEÓN","Unknown",2018-09-05,"COMPLETA","VALLADOLID",10800,8400,"AGENTES COMERCIALES/REPRESENTANTES"
"22362","COMERCIAL/VENTAS","CATALUÑA","Unknown",2018-09-05,"INDIFERENTE","BARCELONA",1200,750,"AGENTES COMERCIALES/REPRESENTANTES"
"22363","DEPENDIENTES/INFORMACIÓN","MADRID","Unknown",2018-09-05,"COMPLETA","MADRID",875,750,"DEPENDIENTES"
"22364","ADMINISTRACIÓN","COMUNIDAD VALENCIANA","FP I, Ciclo de Grado Medio",2018-09-05,"PARCIAL","ALICANTE",600,500,"ADMINISTRATIVOS"
"22365","METAL/MECÁNICA","MADRID","Sin estudios",2018-09-05,"COMPLETA","MADRID",1100,900,"CERRAJEROS/FORJA/HERREROS"
"22366","ADMINISTRACIÓN","ANDALUCÍA","Bachillerato",2018-09-05,"COMPLETA","SEVILLA",800,800,"ADMINISTRATIVOS"
"22369","INGENIERÍA/CALIDAD/CIENCIAS","ANDALUCÍA","Licenciado o Ingeniero Superior",2018-09-06,"COMPLETA","SEVILLA",1700,1400,"MEDIO AMBIENTE/QUÍMICA/BIOLOGÍA/LABORATO"
"22499","CONSTRUCCIÓN","ARAGÓN","Unknown",2018-09-04,"COMPLETA","ZARAGOZA",22000,18000,"FONTANERÍA"
"22500","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","GALICIA","FP II, Ciclo de Grado Superior",2018-09-04,"COMPLETA","PONTEVEDRA",20000,15000,"ELECTRICIDAD"
"22501","HOSTELERÍA/TURISMO","ISLAS CANARIAS","Bachillerato",2018-09-04,"COMPLETA","SANTA CRUZ DE TENERIFE",1100,1000,"CAMAREROS"
"22502","INFORMÁTICA/TELECOMUNICACIONES","ILLES BALEARS","FP II, Ciclo de Grado Superior",2018-09-04,"COMPLETA","BALEARS (ILLES)",1600,1500,"ERP/CRM/BUSSINESS INTELLIGENCE"
"22503","CONSTRUCCIÓN","COMUNIDAD VALENCIANA","FP I, Ciclo de Grado Medio",2018-09-04,"COMPLETA","VALENCIA",15000,15000,"FONTANERÍA"
"22504","FÁBRICAS/INDUSTRIA","CATALUÑA","Estudios primarios",2018-09-04,"COMPLETA","BARCELONA",1000,1000,"PEONES/OPERARIOS/MANIPULADORES"
"22505","HOSTELERÍA/TURISMO","REGIÓN DE MURCIA","ESO, EGB, Graduado Escolar",2018-09-04,"PARCIAL","MURCIA",600,500,"CAMAREROS"
"22506","ADMINISTRACIÓN","MADRID","FP II, Ciclo de Grado Superior",2018-09-04,"COMPLETA","MADRID",15000,12000,"CONTABILIDAD/FINANZAS"
"22507","ADMINISTRACIÓN","CATALUÑA","Bachillerato",2018-09-04,"COMPLETA","GIRONA",22000,15000,"CONTABILIDAD/FINANZAS"
"22508","COMERCIAL/VENTAS","CASTILLA LA MANCHA","Bachillerato",2018-09-04,"PARCIAL","TOLEDO",800,750,"VENDEDORES"
"22509","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","REGIÓN DE MURCIA","Diplomado o Ingeniero Técnico",2018-09-04,"PARCIAL","MURCIA",1500,1000,"ELECTRICIDAD"
"22510","DERECHO/PSICOLOGÍA/CIENCIAS SOCIALES","PAÍS VASCO","Licenciado o Ingeniero Superior",2018-09-04,"COMPLETA","VIZCAYA",1500,1000,"ABOGADOS"
"22511","CONSTRUCCIÓN","MADRID","Otras Formaciones",2018-09-04,"COMPLETA","MADRID",20079,20079,"ALBAÑILERIA/ACABADOS"
"22512","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","GALICIA","Certificados de Profesionalidad",2018-09-04,"COMPLETA","PONTEVEDRA",20000,15000,"ELECTRICIDAD"
"22514","COMERCIAL/VENTAS","PRINCIPADO DE ASTURIAS","Unknown",2018-04-17,"COMPLETA","ASTURIAS",2700,900,"AGENTES COMERCIALES/REPRESENTANTES"
"22515","CONDUCTORES/TRANSPORTE","GALICIA","Unknown",2018-03-14,"INDIFERENTE","OURENSE",1200,1000,"REPARTO DE MERCANCÍAS"
"22519","COMERCIAL/VENTAS","MADRID","ESO, EGB, Graduado Escolar",2018-09-04,"COMPLETA","MADRID",1200,900,"AGENTES COMERCIALES/REPRESENTANTES"
"22520","CONSTRUCCIÓN","ARAGÓN","Unknown",2018-09-04,"COMPLETA","ZARAGOZA",22000,18000,"FONTANERÍA"
"22522","FÁBRICAS/INDUSTRIA","MADRID","Estudios primarios",2018-09-04,"COMPLETA","MADRID",1200,900,"MADERA Y MUEBLE/EBANISTERÍA"
