"","Categoria","Comunidad","Educacion","FechaCreacion","TipoJornada","Provincia","SalarioMax","SalarioMin","SubCategoria"
"977","FÁBRICAS/INDUSTRIA","GALICIA","Sin estudios",2018-10-31,"COMPLETA","PONTEVEDRA",1500,1200,"PEONES/OPERARIOS/MANIPULADORES"
"978","ADMINISTRACIÓN","ARAGÓN","Unknown",2018-10-31,"PARCIAL","ZARAGOZA",520,520,"ADMINISTRATIVOS"
"979","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","ISLAS CANARIAS","FP I, Ciclo de Grado Medio",2018-10-31,"COMPLETA","PALMAS (LAS)",16000,14000,"ELECTRICIDAD"
"980","SALUD/DEPORTE","ISLAS CANARIAS","Licenciado o Ingeniero Superior",2018-03-22,"PARCIAL","PALMAS (LAS)",1000,1000,"MEDICINA"
"982","INGENIERÍA/CALIDAD/CIENCIAS","CASTILLA Y LEÓN","Licenciado o Ingeniero Superior",2018-10-31,"COMPLETA","LEÓN",1300,1300,"INGENIERÍAS"
"983","INFORMÁTICA/TELECOMUNICACIONES","ISLAS CANARIAS","Licenciado o Ingeniero Superior",2018-10-31,"COMPLETA","SANTA CRUZ DE TENERIFE",15000,13000,"TELECOMUNICACIONES"
"984","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","ANDALUCÍA","FP I, Ciclo de Grado Medio",2018-10-31,"COMPLETA","SEVILLA",1500,1500,"ELECTRICIDAD"
"985","COMERCIAL/VENTAS","CASTILLA Y LEÓN","Bachillerato",2018-10-31,"PARCIAL","SALAMANCA",7,7,"VENDEDORES"
"986","COMUNICACIÓN/CULTURA/ENTRETENIMIENTO","ANDALUCÍA","Licenciado o Ingeniero Superior",2018-10-31,"COMPLETA","MÁLAGA",1200,900,"PERIODISMO E INFORMACIÓN"
"987","FÁBRICAS/INDUSTRIA","GALICIA","Sin estudios",2018-10-31,"COMPLETA","PONTEVEDRA",1500,1200,"PEONES/OPERARIOS/MANIPULADORES"
"988","ADMINISTRACIÓN","ARAGÓN","Unknown",2018-10-31,"PARCIAL","ZARAGOZA",520,520,"ADMINISTRATIVOS"
"989","ELECTRICIDAD/ELECTRÓNICA/ENERGÍA","ISLAS CANARIAS","FP I, Ciclo de Grado Medio",2018-10-31,"COMPLETA","PALMAS (LAS)",16000,14000,"ELECTRICIDAD"
"990","SALUD/DEPORTE","ISLAS CANARIAS","Licenciado o Ingeniero Superior",2018-03-22,"PARCIAL","PALMAS (LAS)",1000,1000,"MEDICINA"
"991","ADMINISTRACIÓN","MADRID","FP II, Ciclo de Grado Superior",2018-10-29,"COMPLETA","MADRID",15000,15000,"CONTABILIDAD/FINANZAS"
"994","HOSTELERÍA/TURISMO","MADRID","Estudios primarios",2018-10-30,"COMPLETA","MADRID",1100,900,"CAMAREROS"
"995","ADMINISTRACIÓN","NAVARRA","FP I, Ciclo de Grado Medio",2018-10-23,"PARCIAL","NAVARRA",800,800,"ADMINISTRATIVOS"
"997","METAL/MECÁNICA","GALICIA","Estudios primarios",2018-10-30,"COMPLETA","PONTEVEDRA",16000,15000,"SOLDADURA/CALDERERÍA/CHAPA"
"1010","DEPENDIENTES/INFORMACIÓN","CASTILLA Y LEÓN","Bachillerato",2018-08-01,"PARCIAL","BURGOS",333,333,"DEPENDIENTES"
"1011","DEPENDIENTES/INFORMACIÓN","CASTILLA Y LEÓN","Bachillerato",2018-08-01,"PARCIAL","BURGOS",850,800,"DEPENDIENTES"
"1016","EDUCACIÓN/SERVICIOS SOCIALES","ANDALUCÍA","Licenciado o Ingeniero Superior",2018-10-30,"COMPLETA","SEVILLA",1800,1800,"FORMACIÓN PROFESIONAL"
"1031","DEPENDIENTES/INFORMACIÓN","MADRID","Estudios primarios",2018-10-26,"COMPLETA","MADRID",1100,1100,"DEPENDIENTES"
"1032","CONSTRUCCIÓN","EXTREMADURA","Diplomado o Ingeniero Técnico",2018-10-29,"COMPLETA","BADAJOZ",1300,1300,"TECNICOS EN CONSTRUCCION"
"1033","HOSTELERÍA/TURISMO","CASTILLA Y LEÓN","Unknown",2018-10-11,"COMPLETA","SEGOVIA",1,1,"AYUDANTES DE COCINA/COMIDA RÁPIDA"
